#Pos;Artist;Biisi;Youtube
1;Coolio;Gangsta's Paradise;https://www.youtube.com/watch?v=fPO76Jlnz6c
2;David Guetta & Bebe Rexha;I'm Good;https://www.youtube.com/watch?v=NN1f066QTMU
3;KC and the Sunshine Band;Please Don't Go;https://www.youtube.com/watch?v=w-l5FyA3pgo
4;BLACKPINK;Typa Girl;https://www.youtube.com/watch?v=G888DDnYgU4
5;Tiziano Ferro;La Vita Splendida;https://www.youtube.com/watch?v=e7-KLCIBY5E
6;Metallica;Enter Sandman;https://www.youtube.com/watch?v=CD-E-LDc384
7;Nirvana;Come As You Are (Live On MTV Unplugged, 1993 / Unedited);https://www.youtube.com/watch?v=z9LiPuVRyU8
8;The Network;Teenagers from Mars;https://www.youtube.com/watch?v=KPKAQ9d4R-s
9;blink-182;Man Overboard;https://youtu.be/u38TqU5rAyk
10;Kaija Koo;Kuka Keksi Rakkauden (Tuttu Juttu Show, TV2);https://youtu.be/5LjCnH48DDs
11;Avenged Sevenfold;Shepherd Of Fire;https://youtu.be/bT8FEOJEFcI
12;Beastie Boys;Intergalactic;https://youtu.be/qORYO0atB6g
13;Tracy Bonham;Mother Mother;https://youtu.be/2Xi8NvSetZc
14;ABBA;Knowing Me, Knowing You;https://youtu.be/iUrzicaiRLU
15;Bob Marley;Waiting In Vain;https://youtu.be/AIqMwIqeydQ
16;Nas;N.Y. State of Mind;https://youtu.be/hI8A14Qcv68
17;Ace of Base;Happy Nation;https://youtu.be/HWjCStB6k4o
18;Darude;Sandstorm;https://youtu.be/y6120QOlsfU
19;Apulanta;Pahempi Toistaan;https://youtu.be/YU08gHNq_Pg
20;Red Hot Chili Peppers;Can't Stop;https://www.youtube.com/watch?v=8DyziWtkfBw
21;Ghost;Dance Macabre;https://youtu.be/7Gr63DiEUxw
